phase,order,channel,complex_difference_pct,coarse_rms,fine_rms,angle_difference_deg
A,1,Iload,3.728389896131372e-13,99.9999999997614,99.99999999976126,-1.9749521345632593e-13
A,1,Isystem,3.3050939435419176e-05,107.50661098829255,107.50659685770468,1.737490784759395e-05
A,1,Ifilter,9.817474550253778e-05,36.19258215890275,36.19254664470845,-1.7775705331104187e-06
A,1,Vpcc,3.301921879543937e-06,277.9562615504991,277.95625627310284,-1.5478180713132186e-06
A,5,Iload,2.3705808192428616e-12,20.00000000014253,20.000000000142347,1.2508892317152894e-12
A,5,Isystem,0.22013203678936213,1.6812449251315358,1.6815856241115683,0.125603768793009
A,5,Ifilter,0.018658691654441947,19.835396360047387,19.839058134611363,-0.0015662294271105521
A,5,Vpcc,0.22005880757259705,0.6347244469840637,0.6348390132649322,0.1256710842205088
A,7,Iload,2.731073114136524e-12,14.000000000108974,14.000000000108896,1.5302368049556543e-12
A,7,Isystem,0.002944733014509484,9.452211455156158,9.451933171644358,3.2196823881405706e-05
A,7,Ifilter,0.00611967821931366,4.547905297919653,4.548183524540269,-9.747915648504268e-05
A,7,Vpcc,0.007294241620041608,4.992629541368575,4.992265560481949,0.00012656243920573944
A,11,Iload,4.056317914762496e-12,9.000000000038769,9.000000000038753,2.3220301465415466e-12
A,11,Isystem,0.0012829312355749404,6.9390358416185105,6.938946842372429,-1.6587903359054853e-05
A,11,Ifilter,0.004318977565002978,2.0610913210424844,2.061180338581096,2.4541517467541782e-05
A,11,Vpcc,0.012028621758921415,5.7575984511964275,5.756906101450964,0.00013183118652379213
A,13,Iload,3.4907485033088107e-12,6.999999999991037,6.9999999999909095,1.7030316153616208e-12
A,13,Isystem,0.0011304493858667177,5.483557971639999,5.483496016444464,-2.1116011384621245e-05
A,13,Ifilter,0.004087361907939579,1.5165188501698288,1.5165808243420231,4.9725870376467326e-05
A,13,Vpcc,0.016141442903501144,5.377051514291201,5.376183841483155,0.00015431983934983693
B,1,Iload,3.483833857037623e-13,99.999999999698,99.99999999969826,-1.3397601766284872e-13
B,1,Isystem,3.305093408958718e-05,107.50661098835461,107.50659685776652,1.7374904460646864e-05
B,1,Ifilter,9.817472961850292e-05,36.192582159179224,36.19254664499076,-1.7775751712472876e-06
B,1,Vpcc,3.3019935383851484e-06,277.95626155055595,277.95625627312086,-1.5478626215324278e-06
B,5,Iload,2.6216312930642557e-12,19.999999999947665,19.999999999948063,9.783774992594442e-13
B,5,Isystem,0.22013203882227295,1.6812449238979312,1.6815856228443227,0.12560377006676857
B,5,Ifilter,0.018658691816923013,19.835396358364314,19.839058132964727,-0.0015662293461092302
B,5,Vpcc,0.22005881007782438,0.6347244464983695,0.6348390127938291,0.12567108555333048
B,7,Iload,3.0261973084392777e-12,13.999999999926578,13.9999999999262,7.893231976914581e-13
B,7,Isystem,0.0029447331088571687,9.45221145521797,9.451933171697286,3.219683612871321e-05
B,7,Ifilter,0.0061196784089595615,4.547905297676524,4.548183524305689,-9.747918621396617e-05
B,7,Vpcc,0.007294240825053374,4.9926295412982284,4.9922655604509565,0.00012656230512347503
B,11,Iload,6.1477347443334295e-12,9.000000000085063,9.00000000008557,1.386777105897524e-12
B,11,Isystem,0.0012829312686498727,6.939035841770252,6.938946842521861,-1.658789865056655e-05
B,11,Ifilter,0.004318977705356207,2.061091320938122,2.06118033847963,2.4541496367385058e-05
B,11,Vpcc,0.012028621590177133,5.757598451250171,5.756906101514232,0.00013183109050171369
B,13,Iload,6.193536222608304e-12,6.999999999983257,6.999999999982838,-9.047372657037045e-13
B,13,Isystem,0.0011304494670955718,5.483557971706918,5.483496016506867,-2.1115992741326604e-05
B,13,Ifilter,0.004087362183429657,1.5165188500950457,1.5165808242714618,4.972578954242335e-05
B,13,Vpcc,0.016141442769756747,5.377051514294565,5.37618384149373,0.00015431985327193007
C,1,Iload,9.532931148497187e-14,99.99999999970977,99.99999999970987,3.525684674513901e-15
C,1,Isystem,3.3050934511572676e-05,107.50661098840662,107.50659685782414,1.7374906018778997e-05
C,1,Ifilter,9.817472994358924e-05,36.192582159122985,36.192546644934204,-1.777564862927487e-06
C,1,Vpcc,3.3019255317647184e-06,277.9562615502469,277.9562562730165,-1.5478446579441285e-06
C,5,Iload,7.95452910031716e-13,19.999999999997492,19.999999999997602,-3.30532937606729e-13
C,5,Isystem,0.22013203969150033,1.6812449231593403,1.6815856221545362,0.12560377041464066
C,5,Ifilter,0.018658691880161747,19.835396360286847,19.839058134893524,-0.0015662294782970384
C,5,Vpcc,0.22005880542636566,0.6347244462846083,0.6348390125841664,0.12567108284868453
C,7,Iload,6.531683220320163e-13,13.999999999985617,13.999999999985585,3.5084825974079247e-13
C,7,Isystem,0.0029447330783625527,9.4522114552702,9.451933171752232,3.219678346568193e-05
C,7,Ifilter,0.0061196783534824125,4.547905297681415,4.548183524308295,-9.74790778489583e-05
C,7,Vpcc,0.0072942410421333636,4.99262954140068,4.992265560543679,0.00012656272946679666
C,11,Iload,1.649600121859749e-12,9.000000000052754,9.000000000052822,-8.403032374070851e-13
C,11,Isystem,0.0012829312443830268,6.939035841609535,6.938946842362789,-1.658788408920942e-05
C,11,Ifilter,0.004318977601871953,2.061091321067209,2.06118033860661,2.4541436974464094e-05
C,11,Vpcc,0.012028621813310714,5.757598451185547,5.756906101436625,0.00013183101526565488
C,13,Iload,2.1380382264478987e-12,6.999999999977808,6.999999999977854,-1.1647351157744768e-12
C,13,Isystem,0.0011304494564819752,5.483557971663335,5.483496016464024,-2.1116042784235765e-05
C,13,Ifilter,0.0040873621719936335,1.516518850132586,1.5165808243087295,4.972596791752327e-05
C,13,Vpcc,0.016141442864119608,5.377051514324744,5.376183841518872,0.0001543198785397787
