case,origin,phase,order,frequency_hz,sequence,Iload_rms,Iload_angle_deg,Iload_real,Iload_imag,Iload_theory_error_pct,Isystem_rms,Isystem_angle_deg,Isystem_real,Isystem_imag,Isystem_theory_error_pct,Ifilter_rms,Ifilter_angle_deg,Ifilter_real,Ifilter_imag,Ifilter_theory_error_pct,Ilinear_rms,Ilinear_angle_deg,Ilinear_real,Ilinear_imag,Ilinear_theory_error_pct,Vpcc_rms,Vpcc_angle_deg,Vpcc_real,Vpcc_imag,Vpcc_theory_error_pct,filter_magnitude_pct,system_magnitude_pct,filter_projection_pct,system_projection_pct,linear_projection_pct,kcl_error_a,kcl_error_pct,kcl_real_a,kcl_imag_a
tuned_5th,PSCAD_EMTDC,A,1,60.0,positive,99.99999999976126,-179.99999998842407,-99.99999999976126,-2.0203828076177268e-08,2.0205226353468428e-08,107.50659685770466,-160.33884325044176,-101.23883966917315,-36.171338244036384,1.1035519983455154e-05,36.19254664470845,88.03843169576275,1.238839669411911,36.17133822383253,3.272433728831832e-05,0.0,,0.0,0.0,,277.95625627310284,-1.722837194605975,277.83060787708644,-8.356657705534104,1.1016307067118246e-06,36.19254664479486,107.50659685796133,-1.2388396767228635,101.23883967672282,-0.0,3.648092173882704e-14,3.648092173891414e-14,-2.2870594307278225e-14,2.842170943040401e-14
tuned_5th,PSCAD_EMTDC,A,2,120.0,negative,5.821769639945716e-11,,5.570185613823255e-11,1.6929364926511935e-11,,4.836415304198555e-10,,1.6780896983618797e-10,4.535959430918417e-10,,4.508160779522257e-10,,-1.12105229587005e-10,-4.3665495948113556e-10,,0.0,,0.0,0.0,,9.537742690769278e-11,,-5.6073654032448863e-11,7.715308734575376e-11,,,,,,,1.1770458634988385e-14,,-1.8841109504224638e-15,-1.1618684194196466e-14
tuned_5th,PSCAD_EMTDC,A,3,180.0,zero,2.0247579879303476e-11,,-6.5969004744057484e-12,1.914276351782992e-11,,6.863900111887192e-10,,2.4397729519185525e-10,6.415655281345128e-10,,6.70973952493949e-10,,-2.5057042744436015e-10,-6.224311253590254e-10,,0.0,,0.0,0.0,,1.76027970393685e-10,,-1.2684839777404564e-10,1.2204642699840718e-10,,,,,,,9.17068747751415e-15,,-3.768221900870777e-15,8.36074234240194e-15
tuned_5th,PSCAD_EMTDC,A,4,240.0,positive,1.1215932259941502e-10,,-1.0968540308968157e-10,2.342703555752887e-11,,1.8041455383278232e-09,,8.274311892825477e-10,1.6032151291921678e-09,,1.8368484063384948e-09,,-9.371128241503285e-10,-1.5798201235207962e-09,,0.0,,0.0,0.0,,5.704934254605614e-10,,-4.5923069090756607e-10,3.3848178831701514e-10,,,,,,,3.225078454162486e-14,,-3.768221900870777e-15,3.2029886157401604e-14
tuned_5th,PSCAD_EMTDC,A,5,300.0,negative,20.000000000142347,-1.997541822006104e-07,20.000000000142347,-6.972736348108235e-08,3.4863754389664924e-07,1.6815856241115683,-82.10472001715546,0.230987557901894,-1.6656455082979726,0.07339060530630181,19.839058134611363,4.816102090432178,19.769012442240463,1.6656454385706143,0.006220811813544946,0.0,,0.0,0.0,,0.6348390132649322,4.858513771277206,0.6325579623793672,0.053767992278453955,0.07336455208018108,99.19529067235081,8.407928120498,98.84506218146353,1.1549378185365171,0.0,1.181853138214285e-14,5.909265691029366e-14,-1.0658141036401503e-14,-5.10702591327572e-15
tuned_5th,PSCAD_EMTDC,A,6,360.0,zero,4.014980168492411e-10,,3.968490334131093e-10,6.092209954486436e-11,,4.3967177901176583e-10,,-8.15816901347172e-11,-4.320366895231631e-10,,6.869682812040431e-10,,4.784266413074339e-10,4.929841460612351e-10,,0.0,,0.0,0.0,,1.9939109090420818e-10,,1.9910530879663992e-10,1.0671604423181881e-11,,,,,,,2.5683492581037993e-14,,4.0822403926100084e-15,-2.5356993207736142e-14
tuned_5th,PSCAD_EMTDC,A,7,420.0,positive,14.000000000108896,20.0000002357043,13.155696671406934,4.788282060716723,4.113823437213567e-07,9.451933171644358,20.162277533335025,8.872720192720847,3.2578945751688635,0.000981690139928427,4.548183524540269,19.662757692578374,4.282976478686066,1.5303874855478439,0.0020400345583160852,0.0,,0.0,0.0,,4.992265560481948,107.99217910797805,-1.5420467907567739,4.7481372264805985,0.0024314231939250317,32.48702517503494,67.51380836836313,32.48646242161635,67.51353757838346,0.0,2.7103998191910123e-14,1.9359998708356643e-13,2.220446049250313e-14,1.554312234475219e-14
tuned_5th,PSCAD_EMTDC,A,8,480.0,negative,8.34612094566292e-11,,-6.128008062544426e-11,-5.666149664898007e-11,,2.87055980427534e-10,,-1.9818617667132643e-10,-2.0766168465948303e-10,,2.038332091444503e-10,,1.3689133717677056e-10,1.5102562350833362e-10,,0.0,,0.0,0.0,,1.415754409842768e-10,,1.2456234315420208e-10,-6.72891384833188e-11,,,,,,,2.940729105762445e-14,,1.475886911161463e-14,-2.543549783067095e-14
tuned_5th,PSCAD_EMTDC,A,9,540.0,zero,2.935002973782228e-11,,5.035600533490603e-12,-2.8914822719120398e-11,,1.86917649763848e-10,,-1.2212304751039096e-10,-1.4150678096831736e-10,,1.698679646104894e-10,,1.2717372093148492e-10,1.1261425356211028e-10,,0.0,,0.0,0.0,,1.0066440395863559e-10,,9.643131059045662e-11,-2.888467694391367e-11,,,,,,,2.691231908636037e-14,,-1.507288760335386e-14,-2.229531291331741e-14
tuned_5th,PSCAD_EMTDC,A,10,600.0,positive,4.3176821368792246e-11,,3.6886417645726727e-11,-2.2441704408926132e-11,,1.3427456918663375e-10,,-7.895241330340536e-11,-1.0861020377397492e-10,,1.4437383368452657e-10,,1.1586842719197828e-10,8.612961995054063e-11,,0.0,,0.0,0.0,,8.271033799300299e-11,,8.256048577346067e-11,-4.976565057044093e-12,,,,,,,4.8862526163794035e-14,,-2.9596242846189916e-14,3.88794145081534e-14
