channel,order,expected_sequence,zero_rms,positive_rms,negative_rms,unwanted_sequence_pct
Iload,1,positive,1.9573541586108378e-10,99.99999999972312,1.5807706264517137e-10,2.515963250073168e-10
Iload,2,negative,1.1256375503479647e-14,1.1873800573597894e-10,6.277892774543622e-11,
Iload,3,zero,1.1370989576118564e-14,9.39505568418095e-11,9.960902714848243e-11,
Iload,4,positive,8.726381223455863e-15,9.55070967171008e-11,2.0334282525184655e-10,
Iload,5,negative,3.596648906577953e-11,8.218365634058184e-11,20.000000000029335,4.4854603178497993e-10
Iload,6,zero,1.0766555970303941e-14,1.967479103088068e-10,2.0877622587948848e-10,
Iload,7,positive,2.754156953918197e-11,14.00000000000689,8.47824074378789e-11,6.367405305512983e-10
Iload,8,negative,1.7201491707609086e-14,1.4926206374399436e-10,7.605402025907238e-11,
Iload,9,zero,2.800932291653016e-14,6.651174846657332e-11,6.468528031653746e-11,
Iload,10,positive,1.5896815962027842e-14,4.013327092547595e-11,7.185965484004821e-11,
Iload,11,negative,1.6402245553319355e-11,3.9902940113541406e-11,9.000000000059048,4.793614951897959e-10
Iload,12,zero,3.2303059842436264e-14,2.1157866609023633e-11,1.2968868407910142e-11,
Iload,13,positive,1.5007742759841074e-11,6.999999999983866,7.411337422574988e-12,2.391141240368306e-10
Iload,14,negative,2.3657800093147517e-14,1.0798658590183601e-11,9.087690000831878e-12,
Iload,15,zero,7.588780216971304e-15,9.296576131947853e-12,9.40922998145875e-12,
Iload,16,positive,2.3759179834088012e-14,7.964617911292126e-12,9.20233979017501e-12,
Iload,17,negative,1.2560739669466935e-15,6.923620719214003e-12,8.723901215328506e-12,
Iload,18,zero,2.0106994154417383e-14,6.039087638774922e-12,8.269960457909696e-12,
Iload,19,positive,1.4822412930419866e-14,5.401355945268754e-12,7.80705585414499e-12,
Iload,20,negative,2.192289913551323e-14,4.858198092676193e-12,7.347528510720507e-12,
Iload,21,zero,1.4218190762200855e-14,4.406490392907549e-12,6.9249398128251814e-12,
Iload,22,positive,1.2988396837238447e-14,3.996463727306518e-12,6.550562025320524e-12,
Iload,23,negative,6.439718901583257e-15,3.753078042490468e-12,6.241514650355802e-12,
Iload,24,zero,1.0747840699784258e-14,3.531518516536449e-12,5.890139470255808e-12,
Iload,25,positive,6.605230911512425e-15,3.304190326968021e-12,5.587959849671319e-12,
Isystem,1,positive,1.9764780819752606e-10,107.50659685776509,2.6623404832475507e-10,3.0842748387614827e-10
Isystem,2,negative,2.988702602539908e-14,3.1404526189101025e-10,1.8537389060095156e-10,
Isystem,3,zero,1.0928164343982995e-14,4.608757481920202e-10,2.359759582378689e-10,
Isystem,4,positive,1.9614079751909413e-14,1.2739770565709378e-09,5.381069729171075e-10,
Isystem,5,negative,3.040124987501685e-12,1.143298804336779e-09,1.681585623036809,6.798957071453547e-08
Isystem,6,zero,7.431955251967357e-15,3.2071218367759885e-10,1.2537288283729706e-10,
Isystem,7,positive,1.8591813410948734e-11,9.45193317169796,8.004925723496407e-11,8.694509117519563e-10
Isystem,8,negative,3.792855799906557e-15,2.4952345906962327e-10,3.78436494116311e-11,
Isystem,9,zero,1.82818222992112e-14,1.6467827358973862e-10,2.3357453597211226e-11,
Isystem,10,positive,2.445682212441559e-14,1.2625744996564688e-10,8.398944052209712e-12,
Isystem,11,negative,1.2649944479677211e-11,1.0744689493214835e-10,6.938946842419026,1.5591556869699415e-09
Isystem,12,zero,2.4026462082432054e-14,8.744697409001668e-11,5.195510925966008e-11,
Isystem,13,positive,1.1739408852495657e-11,5.483496016471784,4.361258641740582e-11,8.236522017331951e-10
Isystem,14,negative,1.9974691877934668e-14,6.482026458477536e-11,3.117011216249398e-11,
Isystem,15,zero,5.617333549721743e-15,5.829172565184521e-11,2.7883731078011352e-11,
Isystem,16,positive,1.2986182321757545e-14,5.274154850799973e-11,2.5628580849714632e-11,
Isystem,17,negative,7.230763982721989e-15,4.8171135632427564e-11,2.4018706107880625e-11,
Isystem,18,zero,3.884194229483169e-15,4.4247360359398205e-11,2.2599150917265886e-11,
Isystem,19,positive,1.4606267464907378e-14,4.092324233755094e-11,2.1486856008568482e-11,
Isystem,20,negative,6.667092374410753e-15,3.807836025128674e-11,2.0459656643085468e-11,
Isystem,21,zero,1.8818998932949482e-14,3.5548545409281054e-11,1.961427889395336e-11,
Isystem,22,positive,3.687396671583814e-15,3.3391070901475356e-11,1.883850866507849e-11,
Isystem,23,negative,1.2379747317377533e-14,3.139952221589835e-11,1.8099957469302312e-11,
Isystem,24,zero,3.4079004605606954e-15,2.968263126017767e-11,1.7474954282684382e-11,
Isystem,25,positive,1.4344976083021668e-14,2.8107745959015516e-11,1.689791172603729e-11,
Ifilter,1,positive,1.914532170267259e-12,36.1925466448778,1.7231521598320062e-10,4.761362972984723e-10
Ifilter,2,negative,1.002785383882062e-14,2.610476565517786e-10,1.916451617275864e-10,
Ifilter,3,zero,9.465225551979976e-15,4.1194609042627653e-10,2.6242180790904856e-10,
Ifilter,4,positive,2.5540170661319624e-14,1.211840741818061e-09,6.306574035185702e-10,
Ifilter,5,negative,3.5601046079255924e-11,1.1899085845338766e-09,19.839058134156534,6.00049172577393e-09
Ifilter,6,zero,8.63586535458253e-15,4.338903057786624e-10,2.884922879538956e-10,
Ifilter,7,positive,8.949674266534465e-12,4.5481835243847515,1.4677253793039992e-10,3.2330521370604103e-09
Ifilter,8,negative,4.0986464278771314e-15,1.2900924388714504e-10,1.0838417077475471e-10,
Ifilter,9,zero,4.82177186323577e-15,1.0829796754334283e-10,8.536749035015363e-11,
Ifilter,10,positive,6.4269458928401446e-15,9.078213240085512e-11,7.471701763578184e-11,
Ifilter,11,negative,3.756261056616514e-12,7.702896633940185e-11,2.0611803385557783,3.741569632349865e-09
Ifilter,12,zero,9.128167018295305e-15,6.750510889423598e-11,4.215474404983081e-11,
Ifilter,13,positive,3.2475158271301475e-12,1.5165808243074048,3.88387083685924e-11,2.5698757689318697e-09
Ifilter,14,negative,6.018467315540988e-15,5.4148728213902144e-11,3.791668941638074e-11,
Ifilter,15,zero,3.0427223394369058e-15,4.9038617922093774e-11,3.521886162860136e-11,
Ifilter,16,positive,1.2604277892476583e-15,4.480789203192262e-11,3.282231554938747e-11,
Ifilter,17,negative,5.361865107843817e-15,4.127555538120461e-11,3.071186748351288e-11,
Ifilter,18,zero,1.5744477859383313e-15,3.827819839076753e-11,2.8909141946008913e-11,
Ifilter,19,positive,2.0618156481661603e-15,3.565558407522214e-11,2.7298126583604278e-11,
Ifilter,20,negative,1.1658810215045667e-15,3.3431201495238884e-11,2.5882113801778594e-11,
Ifilter,21,zero,5.347606248533639e-15,3.143585157754751e-11,2.4598454587157915e-11,
Ifilter,22,positive,5.0957671313847665e-15,2.971314646843258e-11,2.3456934260570623e-11,
Ifilter,23,negative,3.1942368197943733e-15,2.809161283006786e-11,2.2397762574576765e-11,
Ifilter,24,zero,4.50941032988342e-15,2.6676431416172867e-11,2.1464085649610415e-11,
Ifilter,25,positive,1.8008594705233555e-15,2.539054238171249e-11,2.059329434054557e-11,
Ilinear,1,positive,0.0,0.0,0.0,
Ilinear,2,negative,0.0,0.0,0.0,
Ilinear,3,zero,0.0,0.0,0.0,
Ilinear,4,positive,0.0,0.0,0.0,
Ilinear,5,negative,0.0,0.0,0.0,
Ilinear,6,zero,0.0,0.0,0.0,
Ilinear,7,positive,0.0,0.0,0.0,
Ilinear,8,negative,0.0,0.0,0.0,
Ilinear,9,zero,0.0,0.0,0.0,
Ilinear,10,positive,0.0,0.0,0.0,
Ilinear,11,negative,0.0,0.0,0.0,
Ilinear,12,zero,0.0,0.0,0.0,
Ilinear,13,positive,0.0,0.0,0.0,
Ilinear,14,negative,0.0,0.0,0.0,
Ilinear,15,zero,0.0,0.0,0.0,
Ilinear,16,positive,0.0,0.0,0.0,
Ilinear,17,negative,0.0,0.0,0.0,
Ilinear,18,zero,0.0,0.0,0.0,
Ilinear,19,positive,0.0,0.0,0.0,
Ilinear,20,negative,0.0,0.0,0.0,
Ilinear,21,zero,0.0,0.0,0.0,
Ilinear,22,positive,0.0,0.0,0.0,
Ilinear,23,negative,0.0,0.0,0.0,
Ilinear,24,zero,0.0,0.0,0.0,
Ilinear,25,positive,0.0,0.0,0.0,
Vpcc,1,positive,1.4687119825730624e-11,277.95625627308004,5.035522117464435e-11,1.8871101007928233e-11
Vpcc,2,negative,3.444038359559067e-14,7.47688806658727e-11,3.337932550931831e-11,
Vpcc,3,zero,2.735067213394762e-14,1.3461866957263834e-10,4.4016563736391925e-11,
Vpcc,4,positive,5.0886500384565965e-14,4.2066213467877513e-10,1.498562790911539e-10,
Vpcc,5,negative,1.1694718893776739e-12,4.014642529991084e-10,0.6348390128809759,6.32390177974252e-08
Vpcc,6,zero,3.666598266676993e-14,1.2000342765368914e-10,7.952046716490085e-11,
Vpcc,7,positive,9.773036900166262e-12,4.992265560492194,5.885368180397765e-11,1.1950406341229802e-09
Vpcc,8,negative,5.72995557358843e-14,1.1259290370858098e-10,4.433917378885811e-11,
Vpcc,9,zero,3.646462506808184e-14,7.3737314799669e-11,4.013611058598775e-11,
Vpcc,10,positive,4.985133530186243e-14,5.7292410241713476e-11,4.3701102444006504e-11,
Vpcc,11,negative,1.0447202926949899e-11,5.062718808457039e-11,5.7569061014672736,8.979453433460916e-10
Vpcc,12,zero,3.895404698870724e-14,4.107296229094273e-11,2.66822660916443e-11,
Vpcc,13,positive,1.1471563830716468e-11,5.376183841498586,3.204627049741917e-11,6.331187811691969e-10
Vpcc,14,negative,5.846406290287187e-14,3.0531862383907265e-11,1.9365036692922456e-11,
Vpcc,15,zero,2.1282923844536325e-14,2.792644663229394e-11,1.8145472918642144e-11,
Vpcc,16,positive,2.924851835745444e-14,2.5604851474489685e-11,1.6986371764711613e-11,
Vpcc,17,negative,2.4341778715465383e-14,2.362654466615019e-11,1.630393546125416e-11,
Vpcc,18,zero,2.9594102574984675e-14,2.185424582594456e-11,1.538779467917539e-11,
Vpcc,19,positive,2.768195654592624e-14,2.039000438163334e-11,1.4637728914015343e-11,
Vpcc,20,negative,3.936589161572309e-14,1.92624034211129e-11,1.388901694427222e-11,
Vpcc,21,zero,7.935967923349733e-14,1.7931540843702453e-11,1.3313155020316378e-11,
Vpcc,22,positive,5.3096705524379897e-14,1.7284085881454127e-11,1.2766377041482028e-11,
Vpcc,23,negative,3.600015022283103e-14,1.6005674938487572e-11,1.2223861211087048e-11,
Vpcc,24,zero,3.437669939983944e-14,1.5340895927342377e-11,1.1785700249693235e-11,
Vpcc,25,positive,2.6157528837088818e-14,1.4495902501218526e-11,1.1400334583332448e-11,
