case,origin,phase,order,frequency_hz,sequence,Iload_rms,Iload_angle_deg,Iload_real,Iload_imag,Iload_theory_error_pct,Isystem_rms,Isystem_angle_deg,Isystem_real,Isystem_imag,Isystem_theory_error_pct,Ifilter_rms,Ifilter_angle_deg,Ifilter_real,Ifilter_imag,Ifilter_theory_error_pct,Ilinear_rms,Ilinear_angle_deg,Ilinear_real,Ilinear_imag,Ilinear_theory_error_pct,Vpcc_rms,Vpcc_angle_deg,Vpcc_real,Vpcc_imag,Vpcc_theory_error_pct,filter_magnitude_pct,system_magnitude_pct,filter_projection_pct,system_projection_pct,linear_projection_pct,kcl_error_a,kcl_error_pct,kcl_real_a,kcl_imag_a
low_quality,PSCAD_EMTDC,A,1,60.0,positive,99.9999999997614,-179.99999998842426,-99.9999999997614,-2.020348338200412e-08,2.0204880004693435e-08,107.71787359132867,-160.3850797881537,-101.4670126006757,-36.16055371439685,4.400162663277905e-05,36.19029938314798,87.6768175973271,1.467012600914413,36.16055369419334,0.00013091228294806657,0.0,,0.0,0.0,,277.95139600728214,-1.7263721857496919,277.8252337058857,-8.373652647857513,4.419891670068497e-06,36.19029938323433,107.71787359158567,-1.4670126082236046,101.46701260822348,-0.0,1.1326821547048625e-13,1.1326821547075652e-13,-1.1124434706744069e-13,2.1316282072803006e-14
low_quality,PSCAD_EMTDC,A,2,120.0,negative,5.845434350146845e-11,,5.579229346385273e-11,1.7439330957092424e-11,,9.464146434497662e-11,,9.012330712844867e-11,2.8892841424698827e-11,,3.621982942464038e-11,,-3.435597813468902e-11,-1.146921139219324e-11,,0.0,,0.0,0.0,,4.333358339761786e-11,,4.1430343725780506e-11,1.2701419953768266e-11,,,,,,,2.949141908945016e-14,,2.4964470093075027e-14,1.570092458683717e-14
low_quality,PSCAD_EMTDC,A,3,180.0,zero,2.061040366958372e-11,,-6.534724813041871e-12,1.9547023073629524e-11,,7.03358014384231e-11,,5.938843323122205e-11,3.7684731156344493e-11,,6.836471215140648e-11,,-6.592064589633002e-11,-1.811635482527687e-11,,0.0,,0.0,0.0,,1.0972555639796866e-10,,1.0949824806860646e-10,-7.059135694242252e-12,,,,,,,2.1500523027581528e-14,,-2.5121479339009266e-15,-2.1353257438099715e-14
low_quality,PSCAD_EMTDC,A,4,240.0,positive,1.1221713431077715e-10,,-1.0968163486778073e-10,2.3719700791827525e-11,,7.839912214727994e-11,,5.062166497891532e-11,5.986542732017018e-11,,1.6430211232756476e-10,,-1.602827316354873e-10,-3.611966299352851e-11,,0.0,,0.0,0.0,,3.15279281950937e-11,,-2.3102968474056537e-11,-2.14537433554551e-11,,,,,,,3.320179451982568e-14,,-2.056821120876456e-14,-2.6063534814149412e-14
low_quality,PSCAD_EMTDC,A,5,300.0,negative,20.00000000014253,-1.9975293131137875e-07,20.00000000014253,-6.972692683836958e-08,3.486353625745869e-07,4.101122312855037,-75.08027432749844,1.0558974242763024,-3.962863214193005,0.11449343109076299,19.354154766011042,11.815166995356995,18.944102575866197,3.962863144466084,0.024261889843766885,0.0,,0.0,0.0,,1.5483065869772348,11.88302676867357,1.5151264199227148,0.31881847331870694,0.11400992161797677,96.77077382936557,20.50561156412905,94.72051280957638,5.279487190423456,0.0,3.249143127675386e-14,1.6245715638261153e-13,3.197442310920451e-14,-5.773159728050814e-15
low_quality,PSCAD_EMTDC,A,6,360.0,zero,4.015174245898104e-10,,3.9679549326026816e-10,6.139689550437033e-11,,1.3596833329903537e-10,,1.3595242188647765e-10,2.080058489264265e-12,,2.6751097048491325e-10,,2.6084260034605287e-10,5.935703138204837e-11,,0.0,,0.0,0.0,,6.92805404115276e-11,,4.0691772233215656e-11,5.607114188451497e-11,,,,,,,4.01971267757134e-14,,4.710277376088471e-16,-4.019436694231143e-14
low_quality,PSCAD_EMTDC,A,7,420.0,positive,14.000000000108974,20.00000023570583,13.15569667140688,4.788282060717101,4.113850189080183e-07,9.460225752519897,19.351412827813224,8.92576077641252,3.134751322018447,0.003909775997883722,4.541643048455334,21.351101780417647,4.22993589499432,1.6535307386986364,0.00814294020709869,0.0,,0.0,0.0,,4.996862668980453,107.18140876825645,-1.476063575846851,4.773873987937749,0.009702935943033338,32.44030748871416,67.57304108890186,32.43128833979932,67.56871166020039,0.0,4.2927602711964753e-14,3.066257336545043e-13,3.907985046680551e-14,1.7763568394002505e-14
low_quality,PSCAD_EMTDC,A,8,480.0,negative,8.286376470709257e-11,,-6.100248827874897e-11,-5.608119047625055e-11,,1.0070569291933447e-10,,-8.836103535282201e-11,-4.831111691671628e-11,,2.844348237270752e-11,,2.7353522778205254e-11,-7.798492233036442e-12,,0.0,,0.0,0.0,,6.353515847622643e-11,,4.432936244149423e-11,-4.5515096266292214e-11,,,,,,,2.885939279663359e-14,,5.02429586779216e-15,2.8418673502175877e-14
low_quality,PSCAD_EMTDC,A,9,540.0,zero,2.8866123657068768e-11,,4.970284687209358e-12,-2.8435002463746636e-11,,4.211202712545977e-11,,-3.2139576741543805e-11,-2.721158641994024e-11,,3.7140237160892944e-11,,3.712075394518528e-11,-1.20284783259764e-12,,0.0,,0.0,0.0,,4.339297925564139e-11,,4.312855572909288e-11,-4.783129666134252e-12,,,,,,,2.3274411411503516e-14,,-1.0892516432114117e-14,-2.056821120875729e-14
low_quality,PSCAD_EMTDC,A,10,600.0,positive,4.300546334188257e-11,,3.6903453148903444e-11,-2.208178033892861e-11,,2.165822000134518e-11,,-2.2559088446368476e-12,-2.1540412459174446e-11,,3.91984995826491e-11,,3.919453206461481e-11,-5.576968413244769e-13,,0.0,,0.0,0.0,,9.426114671969896e-12,,8.661886076066649e-12,-3.717978942163179e-12,,,,,,,3.877588020085792e-14,,-3.517007107451604e-14,1.6328961570313513e-14
