case,origin,phase,order,frequency_hz,sequence,Iload_rms,Iload_angle_deg,Iload_real,Iload_imag,Iload_theory_error_pct,Isystem_rms,Isystem_angle_deg,Isystem_real,Isystem_imag,Isystem_theory_error_pct,Ifilter_rms,Ifilter_angle_deg,Ifilter_real,Ifilter_imag,Ifilter_theory_error_pct,Ilinear_rms,Ilinear_angle_deg,Ilinear_real,Ilinear_imag,Ilinear_theory_error_pct,Vpcc_rms,Vpcc_angle_deg,Vpcc_real,Vpcc_imag,Vpcc_theory_error_pct,filter_magnitude_pct,system_magnitude_pct,filter_projection_pct,system_projection_pct,linear_projection_pct,kcl_error_a,kcl_error_pct,kcl_real_a,kcl_imag_a
stiff_grid,PSCAD_EMTDC,A,1,60.0,positive,99.9999999997614,-179.99999998842426,-99.9999999997614,-2.020348338200412e-08,2.0204880004693435e-08,106.97716082511629,-160.26192279259803,-100.69185816329174,-36.1284187008833,4.37787321943823e-05,36.13504260527359,88.9029215884377,0.6918581635304792,36.12841868067981,0.00012955046875959956,0.0,,0.0,0.0,,277.51436220913405,-0.8583470720156026,277.48322153992603,-4.157282305398556,2.1795435063097618e-06,36.13504260535981,106.97716082537153,-0.691858170831329,100.69185817083117,-0.0,1.3829439974707766e-13,1.3829439974740762e-13,-1.3811174426336947e-13,7.105427357601002e-15
stiff_grid,PSCAD_EMTDC,A,2,120.0,negative,5.845434350146845e-11,,5.579229346385273e-11,1.7439330957092424e-11,,4.659315417626183e-09,,5.5490835711785445e-11,4.65898496757406e-09,,4.6416191289579865e-09,,3.339586659620389e-13,-4.6416191169440335e-09,,0.0,,0.0,0.0,,3.279027213349892e-10,,-3.263380652045714e-10,3.1994716086074495e-11,,,,,,,8.034717088823404e-14,,-3.2500913894754886e-14,7.348032706615297e-14
stiff_grid,PSCAD_EMTDC,A,3,180.0,zero,2.061040366958372e-11,,-6.534724813041871e-12,1.9547023073629524e-11,,6.398844069993975e-09,,3.3319874121203595e-11,6.39875731826779e-09,,6.379324715430756e-09,,-3.985020267536115e-11,-6.379200246602425e-09,,0.0,,0.0,0.0,,6.60461239950235e-10,,-6.594375765732185e-10,3.675774856873759e-11,,,,,,,1.096819438411632e-14,,-4.396258884310466e-15,-1.0048591735655405e-14
stiff_grid,PSCAD_EMTDC,A,4,240.0,positive,1.1221713431077715e-10,,-1.0968163486778073e-10,2.3719700791827525e-11,,1.3389024854615903e-08,,4.876499924467258e-10,1.3380141405919038e-08,,1.3369792346640087e-08,,-5.973496048731585e-10,-1.3356441174273698e-08,,0.0,,0.0,0.0,,2.0230508380205138e-09,,-2.0161605934824574e-09,1.668267199940354e-10,,,,,,,2.6499816603467292e-14,,1.79775586519676e-14,1.9469146487005167e-14
stiff_grid,PSCAD_EMTDC,A,5,300.0,negative,20.00000000014253,-1.9975293131137875e-07,20.00000000014253,-6.972692683836958e-08,3.486353625745869e-07,3.312314790125162,-77.2757085977157,0.7295697171464072,-3.230968476587911,0.2891277370163757,19.539412481903,9.517943550595211,19.270430282996095,3.2309684068609683,0.04901420762211318,0.0,,0.0,0.0,,0.6252530912885109,9.687592497429101,0.6163369400960195,0.10521503903394565,0.28878814169095746,97.69706240881875,16.561573950507785,96.35215135797243,3.6478486420274145,0.0,3.260957681782951e-14,1.6304788408798558e-13,2.842170943040401e-14,1.5987211554602254e-14
stiff_grid,PSCAD_EMTDC,A,6,360.0,zero,4.015174245898104e-10,,3.9679549326026816e-10,6.139689550437033e-11,,6.234049132764388e-09,,8.592940176020928e-10,-6.17454309087188e-09,,6.253119296493471e-09,,-4.6250527573939693e-10,6.235991485408895e-09,,0.0,,0.0,0.0,,1.4309714480181846e-09,,1.4267317125402438e-09,1.1007227387150125e-10,,,,,,,5.1939693226749026e-14,,6.751397572290078e-15,-5.149903264440677e-14
stiff_grid,PSCAD_EMTDC,A,7,420.0,positive,14.000000000108974,20.00000023570583,13.15569667140688,4.788282060717101,4.113850189080183e-07,11.285169278819081,20.096892284091286,10.59804794428457,3.877682996616353,0.0023439283889091843,2.7149139336066437,19.59724284505385,2.5576487271222943,0.9105990641007748,0.009741858938165569,0.0,,0.0,0.0,,2.9803961637505902,107.92688822465952,-0.917375344799659,2.8356981097523306,0.008143307617376028,19.39224238275365,80.60835199093741,19.39176326968298,80.60823673031699,0.0,3.0626061064194705e-14,2.187575790282594e-13,1.509903313490213e-14,-2.6645352591003757e-14
stiff_grid,PSCAD_EMTDC,A,8,480.0,negative,8.286376470709257e-11,,-6.100248827874897e-11,-5.608119047625055e-11,,2.0911405068731066e-09,,1.0476787350908399e-10,-2.0885143792097525e-09,,2.0391898260641602e-09,,-1.657954832671719e-10,2.032438684057107e-09,,0.0,,0.0,0.0,,6.410129714099023e-10,,6.409996668124032e-10,-4.129971203321801e-12,,,,,,,2.5715507105685637e-14,,2.5121479338931718e-14,-5.495323605229755e-15
stiff_grid,PSCAD_EMTDC,A,9,540.0,zero,2.8866123657068768e-11,,4.970284687209358e-12,-2.8435002463746636e-11,,1.4786252976495922e-09,,1.181505369545194e-10,-1.4738972899991043e-09,,1.449865655600856e-09,,-1.1319738590126543e-10,1.4454399922224443e-09,,0.0,,0.0,0.0,,5.162520585542988e-10,,5.160278435449764e-10,1.5213567887662307e-11,,,,,,,2.8118363935655063e-14,,1.7133633955379642e-14,2.2295312913278635e-14
stiff_grid,PSCAD_EMTDC,A,10,600.0,positive,4.300546334188257e-11,,3.6903453148903444e-11,-2.208178033892861e-11,,1.1202694906132584e-09,,1.2214063254592823e-10,-1.1135912165063848e-09,,1.0947760445709899e-09,,-8.517939999454521e-11,1.091457309097828e-09,,0.0,,0.0,0.0,,4.178326743833329e-10,,4.175843024594707e-10,1.4404656252948425e-11,,,,,,,7.781831878761395e-14,,-5.777940247957914e-14,5.2127069628298825e-14
