channel,order,expected_sequence,zero_rms,positive_rms,negative_rms,unwanted_sequence_pct
Iload,1,positive,1.95776700047773e-10,99.99999999972306,1.5791571371293912e-10,2.515271136864037e-10
Iload,2,negative,1.517142319959698e-14,1.1902217572898547e-10,6.29909391050412e-11,
Iload,3,zero,7.522620125208794e-15,9.415442979530775e-11,9.973518881986236e-11,
Iload,4,positive,2.3817612014337768e-14,9.575224934306666e-11,2.0352886879867554e-10,
Iload,5,negative,3.598130145222017e-11,8.251039913417774e-11,20.000000000029228,4.500727724338915e-10
Iload,6,zero,1.0562235501086777e-14,1.9696923054773109e-10,2.0857123058870145e-10,
Iload,7,positive,2.7534399896530156e-11,14.000000000007054,8.463416469663167e-11,6.35717697083569e-10
Iload,8,negative,2.6160670115362367e-14,1.4893759687246158e-10,7.610550964519384e-11,
Iload,9,zero,2.931138306183345e-14,6.640046207819132e-11,6.458597667862378e-11,
Iload,10,positive,2.8999808541917414e-14,3.986508591425505e-11,7.167018141809568e-11,
Iload,11,negative,1.6399160803860187e-11,3.96230581155666e-11,9.000000000058861,4.764735699892687e-10
Iload,12,zero,1.7794381198414922e-14,2.0849791873961505e-11,1.3443147238185557e-11,
Iload,13,positive,1.5005767488542803e-11,6.999999999984034,7.367975273968696e-12,2.388151524776386e-10
Iload,14,negative,2.1889388952414025e-14,1.0543171438033671e-11,8.999808695619525e-12,
Iload,15,zero,1.3865225808319045e-14,8.997740493027091e-12,9.269153346495234e-12,
Iload,16,positive,2.5341203650493153e-14,7.76652508362796e-12,9.074741380533024e-12,
Iload,17,negative,1.4908071761450564e-14,6.54980510840847e-12,8.794029037906723e-12,
Iload,18,zero,5.617333549722465e-15,5.729164792572636e-12,8.213198084266648e-12,
Iload,19,positive,1.3956667029607088e-14,5.167620934434543e-12,7.762819717538572e-12,
Iload,20,negative,1.613218534212622e-14,4.696536483521783e-12,7.2475773462500144e-12,
Iload,21,zero,2.38810237143226e-14,4.139407925571723e-12,6.935273073776504e-12,
Iload,22,positive,2.5415513838182058e-14,3.665079394139066e-12,6.516108604164159e-12,
Iload,23,negative,1.942294558297032e-14,3.5433401287974386e-12,6.2417377689631575e-12,
Iload,24,zero,2.763442023744644e-14,3.4037297541747817e-12,5.807443755137229e-12,
Iload,25,positive,2.531611462855657e-14,3.0953561026570774e-12,5.51027268463377e-12,
Isystem,1,positive,1.9669591730349109e-10,106.97716082554743,1.967160349418503e-09,1.8480296793360518e-09
Isystem,2,negative,3.488291768620041e-14,2.459404013187049e-09,2.248156914194318e-09,
Isystem,3,zero,2.612882101955226e-14,3.43907967547611e-09,3.020069051504845e-09,
