channel,order,expected_sequence,zero_rms,positive_rms,negative_rms,unwanted_sequence_pct
Iload,1,positive,2.0308421691881632e-10,99.99999999972351,1.6298216399834936e-10,2.603965916510595e-10
Iload,2,negative,2.5662476562342383e-11,1.2047511157221329e-10,6.954903393836439e-11,
Iload,3,zero,5.000000000007667,9.628217342782103e-11,1.0622357562196937e-10,2.867312674811606e-09
Iload,4,positive,3.4717381557523136e-11,9.806665329889435e-11,2.1019153916412482e-10,
Iload,5,negative,5.564760404321214e-11,1.0162469539338772e-10,20.000000000021913,5.793149952642246e-10
Iload,6,zero,1.3381449809032371e-11,1.995372982587456e-10,2.003894151602133e-10,
Iload,7,positive,3.8028453929745543e-11,14.00000000000969,8.477133936764898e-11,6.636457472783273e-10
Iload,8,negative,8.70612902883487e-12,1.4644042369204459e-10,6.33014127707919e-11,
Iload,9,zero,7.487082255775057e-12,6.362902167834429e-11,4.631051589608313e-11,
Iload,10,positive,6.5737284225314685e-12,3.7245481105669405e-11,3.617362073058509e-11,
Iload,11,negative,5.850402926836869e-12,2.4823426556381262e-11,2.93651732463905e-11,
Iload,12,zero,5.273901660862519e-12,1.8231393517278466e-11,2.466136016862714e-11,
Iload,13,positive,1.983110869051321e-11,6.999999999986652,2.1797699694218287e-11,4.209834413965938e-10
Iload,14,negative,4.450117755390897e-12,7.764681094875348e-12,1.8491718711314728e-11,
Iload,15,zero,4.147114817724382e-12,6.259815423898353e-12,1.635760430447121e-11,
Iload,16,positive,3.8584500014825035e-12,4.912547483463271e-12,1.4634549975868978e-11,
Iload,17,negative,3.6369949171808457e-12,3.845497691754366e-12,1.3106014816353684e-11,
Iload,18,zero,3.4225925984134245e-12,2.9724519025389487e-12,1.1948503425924383e-11,
Iload,19,positive,3.223052779416373e-12,2.2910897238173724e-12,1.0926169999531136e-11,
Iload,20,negative,3.048890223526819e-12,1.7249499752110076e-12,1.0106162125738669e-11,
Iload,21,zero,2.90193129833076e-12,1.2686961398094227e-12,9.339097890648623e-12,
Iload,22,positive,2.754555995754169e-12,9.910642050333508e-13,8.663649683690141e-12,
Iload,23,negative,2.6298984859789044e-12,6.382947246119295e-13,8.098077216554814e-12,
Iload,24,zero,2.5129323697225465e-12,4.0906806880940644e-13,7.591346511127605e-12,
Iload,25,positive,2.4315177110606165e-12,2.2594203687001476e-13,7.101937318809005e-12,
Isystem,1,positive,2.06286503529215e-10,130.3888085922908,2.1618701213703734e-10,2.291729707127525e-10
Isystem,2,negative,2.937392259946474e-11,7.79695452853498e-11,1.7207086504802397e-11,
Isystem,3,zero,5.746326826347241,5.7186162051345045e-11,1.7958203393005262e-11,1.0430939576722147e-09
Isystem,4,positive,3.9371187188227975e-11,7.271723508832385e-11,2.8231819513418788e-11,
Isystem,5,negative,2.1190134317027904e-11,7.613442885396803e-11,1.6769814626447563,4.7125330320041214e-09
Isystem,6,zero,1.5597446245289527e-11,1.2327628410985725e-10,1.5577801374161902e-11,
Isystem,7,positive,3.0786805494814106e-11,9.437188902505254,2.5070018500412493e-11,4.2070857665911234e-10
Isystem,8,negative,1.015690959102456e-11,1.0823594851949675e-10,4.315606318785233e-12,
Isystem,9,zero,8.69839022783893e-12,5.1948595524795313e-11,3.261451414181293e-12,
Isystem,10,positive,7.655341273359147e-12,3.355358088261204e-11,2.822800732220703e-12,
Isystem,11,negative,6.8153760279402564e-12,2.4713199841089463e-11,2.6133128138481686e-12,
Isystem,12,zero,6.163061229538892e-12,1.9881647580475382e-11,2.5035271095048714e-12,
Isystem,13,positive,1.7358731083746686e-11,5.464848331960512,1.3205138387220404e-11,3.9910670263933813e-10
Isystem,14,negative,5.172374046992799e-12,1.1735001889874059e-11,2.236295094409305e-12,
Isystem,15,zero,4.8306672074855225e-12,1.0498756687016853e-11,2.18377596890324e-12,
Isystem,16,positive,4.496243923051811e-12,9.304433205394379e-12,2.098682578562073e-12,
Isystem,17,negative,4.220709992542023e-12,8.360589878826637e-12,2.123985641335559e-12,
Isystem,18,zero,3.972910801022082e-12,7.477031994359013e-12,2.030736562529847e-12,
Isystem,19,positive,3.7586712650372765e-12,6.80092721912368e-12,2.0170834286807834e-12,
Isystem,20,negative,3.5582522363918815e-12,6.255972959472544e-12,1.9267021658235478e-12,
Isystem,21,zero,3.35915926723593e-12,5.7371184611455366e-12,1.90088812508205e-12,
Isystem,22,positive,3.205606349339561e-12,5.4080591934519355e-12,1.8555791583572876e-12,
Isystem,23,negative,3.0884461083707164e-12,4.934819079052074e-12,1.8108743073968958e-12,
Isystem,24,zero,2.9288380957877184e-12,4.629598212873614e-12,1.7647751571732805e-12,
Isystem,25,positive,2.8242407819710135e-12,4.333310529413425e-12,1.7451542345096968e-12,
Ifilter,1,positive,3.2386375424403772e-12,36.12777951545606,5.937156456627758e-11,1.6458202351185823e-10
Ifilter,2,negative,3.9440210725940396e-12,4.243016765010784e-11,7.429422031931793e-11,
Ifilter,3,zero,0.7644513622466735,3.859521857057058e-11,1.0777867776285447e-10,1.497553950399543e-08
Ifilter,4,positive,5.1071742251188026e-12,3.7216478154422346e-11,2.141480312115804e-10,
Ifilter,5,negative,3.511882504928226e-11,6.192029063391058e-11,19.784739045525097,3.5980284451727554e-10
Ifilter,6,zero,2.19398808951414e-12,7.637781107208085e-11,2.0095737564899656e-10,
Ifilter,7,positive,7.239406278389352e-12,4.54108871709264,9.367566080186401e-11,2.0689968137921945e-09
Ifilter,8,negative,1.4058819746121286e-12,3.869288490207832e-11,6.523452042322721e-11,
Ifilter,9,zero,1.207614598602967e-12,1.2580276735168768e-11,4.8359402351134615e-11,
Ifilter,10,positive,1.0569971304342765e-12,5.109760584481345e-12,3.8299261311155994e-11,
Ifilter,11,negative,9.491425921686215e-13,2.709848452814877e-12,3.155902643125926e-11,
Ifilter,12,zero,8.522881620992876e-13,2.6638261004584472e-12,2.683798081081521e-11,
Ifilter,13,positive,2.4591728445680943e-12,1.5114233990045793,2.2204778224471554e-11,1.478112589617651e-09
Ifilter,14,negative,7.155431578554228e-13,4.167926572985179e-12,2.0549760861504937e-11,
Ifilter,15,zero,6.656634019243728e-13,4.358710250804861e-12,1.8375402751753173e-11,
Ifilter,16,positive,6.227556392134819e-13,4.449971715481763e-12,1.65903010206309e-11,
Ifilter,17,negative,5.79827064654151e-13,4.509462175217479e-12,1.5103414877644874e-11,
Ifilter,18,zero,5.424267502349882e-13,4.53633716700865e-12,1.3880410564972453e-11,
Ifilter,19,positive,5.174863737238141e-13,4.499613367008084e-12,1.2826879855224246e-11,
Ifilter,20,negative,4.856092718882311e-13,4.498528933911752e-12,1.193080409936523e-11,
Ifilter,21,zero,4.626279198333627e-13,4.431180820948249e-12,1.1128925519593382e-11,
Ifilter,22,positive,4.436060155754592e-13,4.409381851517273e-12,1.0430935751953502e-11,
Ifilter,23,negative,4.230071526064066e-13,4.2959339757989354e-12,9.801151937995325e-12,
Ifilter,24,zero,4.067588696282384e-13,4.2237560624208935e-12,9.261481922921317e-12,
Ifilter,25,positive,3.8717114647760455e-13,4.133739245315485e-12,8.764921792140035e-12,
Ilinear,1,positive,1.8069841457640485e-12,24.084969548162277,1.8845761055814054e-12,1.0840386669809654e-11
Ilinear,2,negative,8.360607482992507e-13,1.9085013659796973e-13,7.158224230710733e-13,
Ilinear,3,zero,0.11326935182412345,1.3899887287889477e-12,5.277984592974592e-13,1.3126428730076606e-09
Ilinear,4,positive,5.820800364100593e-13,2.1819653463260014e-12,8.041378597177192e-13,
Ilinear,5,negative,2.4157803248685094e-13,2.803110293552149e-12,0.054956669407899415,5.119489447417287e-09
Ilinear,6,zero,1.6697029422679832e-13,5.1933223467789616e-12,9.332477665366141e-13,
Ilinear,7,positive,9.609289495103317e-13,0.43268038372381457,1.1473175673256267e-12,3.458835090084879e-10
Ilinear,8,negative,8.361891780831506e-14,5.329501223891701e-12,5.128779670160218e-13,
Ilinear,9,zero,6.595700759935766e-14,2.6881401895688345e-12,4.561088018525138e-13,
Ilinear,10,positive,5.4211356488256766e-14,1.830858704899784e-12,4.0290129873306366e-13,
Ilinear,11,negative,4.3727527282856494e-14,1.4094493900119864e-12,3.758978799695586e-13,
Ilinear,12,zero,3.794564258422969e-14,1.1729369922271247e-12,3.5975857780286193e-13,
Ilinear,13,positive,1.0246459166435566e-12,0.46509558096157066,1.0906053548910267e-12,3.2174795697416465e-10
Ilinear,14,negative,2.943941968476477e-14,6.814181780370727e-13,3.0560818104652554e-13,
Ilinear,15,zero,2.5337785956079185e-14,6.408987299345799e-13,2.8696412817446027e-13,
Ilinear,16,positive,2.291378874022998e-14,5.843482982036264e-13,2.62622778596973e-13,
Ilinear,17,negative,2.00396024795876e-14,5.276949886033252e-13,2.5906023324697267e-13,
Ilinear,18,zero,1.9721355932613696e-14,4.825516310928682e-13,2.4774125748694317e-13,
Ilinear,19,positive,1.497208003166777e-14,4.385537111896341e-13,2.37694747613222e-13,
Ilinear,20,negative,1.6159503873080997e-14,4.2293217649683046e-13,2.296290422196302e-13,
Ilinear,21,zero,1.6509878699044018e-14,3.7708543587342153e-13,2.238120521184652e-13,
Ilinear,22,positive,1.4081117457491758e-14,3.8735934571479387e-13,2.123561152617483e-13,
Ilinear,23,negative,1.6621570902015742e-14,3.3366737201647245e-13,1.9706810510527834e-13,
Ilinear,24,zero,1.3198119132441368e-14,3.342222324893153e-13,1.9297182330056243e-13,
Ilinear,25,positive,1.2792185849254818e-14,3.03776082647654e-13,1.844593990552385e-13,
